source,context_id,consultation,turn_norm,cos_H,cos_p
Claude,CTX_0000,CAR0001,"OK, and is there anything else that makes the pain worse, like taking a deep breath, or moving around, or eating?",0.5615499019622803,0.005825460888445377
Claude,CTX_0001,CAR0001,"OK, so the pain can be worse with deep breathing as well. And on a scale of 0 to 10, with 0 being no pain and 10 being the worst pain you've ever felt, how would you rate this pain right now?",0.46178609132766724,0.36426490545272827
Claude,CTX_0002,CAR0001,"OK, and when you say your neck seems a little swollen, can you tell me more about that - is it on one side or both sides, and did you notice that around the same time as the chest pain started?",0.3786708116531372,0.06643711030483246
Claude,CTX_0003,CAR0001,OK. And have you had any recent weight loss that you've noticed?,0.33606988191604614,0.20604854822158813
Claude,CTX_0004,CAR0001,"OK, that's good. And in terms of your family history, do you have any family members with heart or lung conditions, or any other significant medical conditions?",0.5200873613357544,0.2002454698085785
Claude,CTX_0005,CAR0002,"Can you describe the pain for me? Is it sharp, dull, pressure-like, or something else?",0.512226939201355,0.005012592300772667
Claude,CTX_0006,CAR0002,"OK, and can you describe the pain for me? Is it sharp, dull, pressure-like, or something else?",0.16363221406936646,0.06780171394348145
Claude,CTX_0007,CAR0002,"OK, and did you have any other symptoms with that runny nose a few weeks ago, like a sore throat or any body aches or fatigue?",0.4009852409362793,0.6982405781745911
Claude,CTX_0008,CAR0002,"OK, and have you noticed any lightheadedness or dizziness, or have you felt like you might faint at all?",0.3874927759170532,0.25864899158477783
Claude,CTX_0009,CAR0002,"OK, and do you smoke cigarettes or use any tobacco products at all?",0.22240571677684784,0.22454328835010529
Claude,CTX_0010,CAR0002,"OK, and when was the last time you used crystal meth?",0.9973726868629456,0.6631673574447632
Claude,CTX_0011,CAR0003,"OK, and do you find that you need to prop yourself up with pillows at night to help you breathe more comfortably?",0.7102459669113159,0.642741322517395
Claude,CTX_0012,CAR0003,"And can you tell me a bit more about the breathlessness - for example, does it come on with activity, or do you get it at rest as well?",0.1618393510580063,0.07143079489469528
Claude,CTX_0013,CAR0003,"OK. And in terms of your past medical history, do you have any medical conditions that you've been diagnosed with before?",0.24718071520328522,0.16453629732131958
Claude,CTX_0014,CAR0003,"OK, and where exactly is the swelling? Is it in your legs, ankles, or elsewhere?",0.7706122398376465,0.7220965623855591
Claude,CTX_0015,CAR0003,"OK, and in terms of your family history, has anyone in your family had any heart or lung conditions?",0.28070613741874695,0.12546560168266296
Claude,CTX_0016,CAR0004,"OK, and does anything seem to bring it on, or does it just come on randomly? For example, does it happen when you're active or exercising, or does it happen at rest as well?",0.5936701893806458,0.4750692546367645
Claude,CTX_0017,CAR0004,And does the pain get better when you sit up or lean forward?,0.4270179867744446,0.4570315480232239
Claude,CTX_0018,CAR0004,"OK, and do you have any allergies to any medications?",0.8336299657821655,0.42920637130737305
Claude,CTX_0019,CAR0004,"OK, good to know. And have you been feeling unwell recently, like have you had any fever, chills, or any recent illness like a cold or flu?",0.3714846074581146,0.2144905924797058
Claude,CTX_0020,CAR0004,"OK, and do you smoke at all, or drink alcohol, or use any recreational drugs?",0.6299940943717957,0.305841326713562
Claude,CTX_0021,CAR0005,"OK, and is there anything that seems to bring it on, like does it happen with activity or exertion, or does it come on at rest?",0.32449859380722046,-0.025960339233279228
Claude,CTX_0022,CAR0005,"OK, and when you have these episodes, do you notice any other symptoms that come along with the chest pain, like shortness of breath, palpitations, sweating, nausea, or dizziness?",0.3504554033279419,0.23340274393558502
Claude,CTX_0023,CAR0005,"OK, so it sounds like it might be more related to times when you're feeling stressed or anxious rather than when you're physically exerting yourself. Is that fair to say? And when you have these episodes, do you notice any other symptoms along with the chest pain, like shortness of breath, heart palpitations, sweating, or dizziness?",0.30296194553375244,0.28245648741722107
Claude,CTX_0024,CAR0005,"Do you have any family history of heart disease, or any other significant medical conditions that run in your family?",0.8948931694030762,0.16105704009532928
Claude,CTX_0025,CAR0005,"Thank you for sharing all of that with me. So based on everything you've told me, I want to reassure you that the pattern of your chest pain — the fact that it's sharp, stays in one spot on the left side, doesn't radiate anywhere, doesn't happen with exercise, and isn't associated with shortness of breath or nausea — is actually somewhat reassuring that this may not be coming from your heart. That said, given your family history with your father and your smoking history, we absolutely want to be thorough and make sure we rule out any cardiac causes. 

What I'd like to do is start with a physical examination today, and then I'd like to order an ECG, which",0.3702181279659271,0.007675161585211754
Claude,CTX_0026,DER0001,"OK, so just to make sure I understand - you have diabetes, you've been scratching at this area on your leg, and now it's become swollen, red, and painful over the past day or so. Can you tell me a little more about where exactly on your leg this is, and how big the area of redness is? And also, have you noticed any warmth coming from it, or any discharge or pus coming out of it?",0.23479986190795898,0.3338204026222229
Claude,CTX_0027,DER0001,"OK, and have you had any fevers or chills recently?",0.5200703144073486,0.33748963475227356
Claude,CTX_0028,DER0001,"That would be great, thank you. And do you have any allergies to any medications that you know of?",0.29095131158828735,0.31563881039619446
Claude,CTX_0029,DER0001,"OK, any nausea or vomiting, or have you felt confused or lightheaded at all?",0.2649776339530945,0.16110862791538239
Claude,CTX_0030,DER0001,"OK, so mostly a desk job, sitting for long periods of time. Do you smoke or have you ever smoked?",0.6923490762710571,0.3217925429344177
Claude,CTX_0031,GAS0001,"OK, and I have to ask - is there any chance you could be pregnant?",0.1882849782705307,0.3248801529407501
Claude,CTX_0032,GAS0001,"OK, and have you had any burning or pain when you urinate?",0.46447113156318665,0.23875413835048676
Claude,CTX_0033,GAS0001,Have you been sexually active recently?,0.32851243019104004,0.24307996034622192
Claude,CTX_0034,GAS0001,Have you had any chance that you could be pregnant?,0.4081829786300659,0.20934438705444336
